Comment,Designator,Footprint,LCSC Part # 
4.7k Resistor,"R1, R2",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C441952
12 pin 0.5mm pitch FPC connector,J2,minimal-ffc-i2c:FPC-SMD_FPC05012-09200-.5mm-rev,C479750
